

windninja coords prjStr = "PROJCS["WGS 84 / UTM zone 29N",GEOGCS["WGS 84",DATUM["WGS_1984",SPHEROID["WGS 84",6378137,298.257223563,AUTHORITY["EPSG","7030"]],AUTHORITY["EPSG","6326"]],PRIMEM["Greenwich",0,AUTHORITY["EPSG","8901"]],UNIT["degree",0.0174532925199433,AUTHORITY["EPSG","9122"]],AUTHORITY["EPSG","4326"]],PROJECTION["Transverse_Mercator"],PARAMETER["latitude_of_origin",0],PARAMETER["central_meridian",-9],PARAMETER["scale_factor",0.9996],PARAMETER["false_easting",500000],PARAMETER["false_northing",0],UNIT["metre",1,AUTHORITY["EPSG","9001"]],AXIS["Easting",EAST],AXIS["Northing",NORTH],AUTHORITY["EPSG","32629"]]"

windninja coords crs = "+proj=utm +zone=29 +datum=WGS84 +units=m +no_defs"


nStations = 108


"station_number","station_category","station_longName","station_acronym","station_subcategory","station_longitudeAsStr","station_latitudeAsStr","station_longitudeAsNbr","station_latitudeAsNbr","station_projCoords_xAsStr","station_projCoords_yAsStr","station_projCoords_xAsNbr","station_projCoords_yAsNbr","station_projCoordsType","station_installationDate","station_commisioningDate","station_decomissioningDate","station_removalDate","station_elevation","station_elevationUnits","station_elevationUnitsType","station_otherObs","station_dataName","station_wn_x","station_wn_y"
131,"Remote sensing","Remote Sensing station 131","CLAMPS - Halo lidar (Oklahoma)","Scanning LIDAR","7°44′13.65″W","39°42′45.35″N",-7.737125,39.7125972222222,"33956.03E","4997.84N",33956.03,4997.84,"EPSG:3763","2017-04-21","2017-04-28","2017-06-28","2017-07-11",296.2,"m","ASL","Validated by Tyler Bell on 23/01/2018 17:56 UTC. https://www.nssl.noaa.gov/users/dturner/public_html/CLAMPS/","",608250.835289914,4396621.43158869
132,"Remote sensing","Remote Sensing station 132","CLAMPS - AERI (Oklahoma)","AERI","7°44′13.75″W","39°42′45.66″N",-7.73715277777778,39.7126833333333,"33953.49E","5007.43N",33953.49,5007.43,"EPSG:3763","2017-04-21","2017-04-28","2017-06-25","2017-07-11",296.6,"m","ASL","Validated Tyler Bell on 23/01/2018 17:56 UTC. https://www.nssl.noaa.gov/users/dturner/public_html/CLAMPS/","",608248.319552158,4396630.95549765
133,"Remote sensing","Remote Sensing station 133","CLAMPS - MWR (Oklahoma)","MWR","7°44′13.97″W","39°42′45.57″N",-7.73721388888889,39.7126583333333,"33948.34E","5004.68N",33948.34,5004.68,"EPSG:3763","2017-04-21","2017-04-28","2017-06-25","2017-07-11",296.1,"m","ASL","Validated by Tyller Bell on 23/01/2018 17:56 UTC https://www.nssl.noaa.gov/users/dturner/public_html/CLAMPS/","",608243.120173076,4396628.10697277
134,"Remote sensing","Remote Sensing station 134","Microwave Radiometer (DLR)","MWR","7°45′49.95″W","39°42′5.05″N",-7.763875,39.7014027777778,"31667.27E","3745.01N",31667.27,3745.01,"EPSG:3763","2017-04-14","2017-04-25","2017-06-30","2017-07-11",222.9,"m","ASL","Validated by Norman Wildmann and Thomas Gerz on 24/01/2018 at 16:42 UTC","",605974.945687056,4395347.01122446
141,"Remote sensing","Remote Sensing station 141","Windcube V1 68 BEEHIVE (Colorado)","Profiling LIDAR","7°43′33.45″W","39°43′5.99″N",-7.72595833333333,39.7183305555556,"34910.57E","5638.86N",34910.57,5638.86,"EPSG:3763","","2017-06-25","2017-06-25","2017-06-25",259.7,"m","ASL","Validated by Julie Lundquist on 23/01/2018 17:40 UTC","",609199.003388483,4397271.31565788
142,"Remote sensing","Remote Sensing station 142","Windcube Profiler V1 49 (Colorado)","Profiling LIDAR","7°44′13.70″W","39°42′45.48″N",-7.73713888888889,39.7126333333333,"33954.64E","5002N",33954.64,5002,"EPSG:3763","","2017-06-25","2017-06-25","2017-06-25",295.8,"m","ASL","Validated by Julie Lundquist on 23/01/2018 17:40 UTC","",608249.588276639,4396625.42278118
143,"Sounding sites","Remote Sensing station 143","Tethersonde (Colorado)","Tethersonde","7°44′12.56″W","39°42′45.55″N",-7.73682222222222,39.7126527777778,"33981.84E","5004.07N",33981.84,5004.07,"EPSG:3763","","2017-06-25","2017-06-25","2017-06-25",298.4,"m","ASL","Validated by Julie Lundquist on 23/01/2018 17:40 UTC","",608276.702636107,4396627.96330114
151,"Remote sensing","Remote Sensing station 151","USA01 (Notre Dame)","Scanning LIDAR","7°43′54.55″W","39°42′52.58″N",-7.73181944444444,39.7146055555556,"34409.8E","5222.82N",34409.8,5222.82,"EPSG:3763","2017-04-15","2017-06-23","2017-06-23","2017-06-23",447.8,"m","ASL","Validated by Raghu on 07/02/2018 20:43 UTC","",608702.476533927,4396850.75542767
152,"Remote sensing","Remote Sensing station 152","USA2 (Notre Dame)","Scanning LIDAR","7°44′11.44″W","39°42′49.69″N",-7.73651111111111,39.7138027777778,"34008E","5132.02N",34008,5132.02,"EPSG:3763","2017-04-15","2017-06-23","2017-06-23","2017-06-23",311.1,"m","ASL","Validated by Raghu on 07/02/2018 20:43 UTC","",608301.572447842,4396755.97725974
153,"Remote sensing","Remote Sensing station 153","USA3 (Notre Dame)","Scanning LIDAR","7°44′36.12″W","39°42′53.69″N",-7.74336666666667,39.7149138888889,"33419.47E","5252.65N",33419.47,5252.65,"EPSG:3763","2017-04-15","2017-06-24","2017-06-24","2017-06-24",334,"m","ASL","Validated by Raghu on 07/02/2018 20:43 UTC","",607712.19365069,4396871.0401422
155,"Remote sensing","Remote Sensing station 155","MWR (Notre Dame)","MWR","7°43′44.25″W","39°43′23.27″N",-7.72895833333333,39.7231305555556,"34651.07E","6170.54N",34651.07,6170.54,"EPSG:3763","","2017-06-25","2017-06-25","2017-06-25",259.8,"m","ASL","","",608934.309643829,4397800.41722697
156,"Sounding sites","Remote Sensing station 156","Radiosonde (Notre Dame)","Radiosonde","7°43′52.35″W","39°43′20.02″N",-7.73120833333333,39.7222277777778,"34458.56E","6069.35N",34458.56,6069.35,"EPSG:3763","2017-04-18","2017-06-23","2017-06-23","2017-06-23",259.9,"m","ASL","","",608742.886357863,4397697.48598452
157,"Remote sensing","Remote Sensing station 157","Ceilometer (Notre Dame)","Ceilometer","7°44′15.04″W","39°42′45.66″N",-7.73751111111111,39.7126833333333,"33922.69E","5007.21N",33922.69,5007.21,"EPSG:3763","2017-04-26","2017-06-25","2017-06-25","2017-06-25",294.3,"m","ASL","","",608217.603130764,4396630.5229173
161,"Remote sensing","Remote Sensing station 161","USA04 (ARL)","Scanning LIDAR","7°44′15.51″W","39°43′12.81″N",-7.73764166666667,39.720225,"34495.7E","6076.55N",34495.7,6076.55,"EPSG:3763","2017-04-15","2017-06-24","2017-06-24","2017-06-24",460.8,"m","ASL","","",608194.625662645,4397467.41324857
164,"Remote sensing","Remote Sensing station 164","Scintillometer (ARL)","Scintillometer","7°43′50.79″W","39°43′20.25″N",-7.730775,39.7222916666667,"34495.7E","6076.55N",34495.7,6076.55,"EPSG:3763","2017-04-26","2017-04-26","2017-06-25","2017-06-25",268,"m","ASL","","",608779.926289888,4397705.10278956
165,"Sounding sites","Remote Sensing station 165","Tethersonde (ARL)","Tethersonde","7°43′52.18″W","39°43′20.02″N",-7.73116111111111,39.7222277777778,"34462.56E","6069.35N",34462.56,6069.35,"EPSG:3763","2017-04-19","2017-04-30","2017-06-15","2017-06-22",260.3,"m","ASL","","",608746.933701906,4397697.54327247
172,"Remote sensing","Remote Sensing station 172","Scanning Lidar #2 (DLR)","Scanning LIDAR","7°44′6.41″W","39°42′44.83″N",-7.73511388888889,39.7124527777778,"34128.46E","4982.5N",34128.46,4982.5,"EPSG:3763","2017-04-19","2017-04-23","2017-06-28","2017-07-02",323.2,"m","ASL","Validated by Norman Wildmann and Thomas Gerz on 24/01/2018 at 16:42 UTC","",608423.454631033,4396607.82988563
181,"Noise monitoring","Remote Sensing station 181","E-NMT01","Monitoring","7°44′10.20″W","39°42′50.00″N",-7.73616666666667,39.7138888888889,"34037.51E","5141.69N",34037.51,5141.69,"EPSG:3763","2017-03-14","2017-06-24","2017-06-24","2017-06-24",317.5,"m","ASL","","",608330.96310941,4396765.95085363
182,"Noise monitoring","Remote Sensing station 182","E-NMT02","Monitoring","7°44′15.06″W","39°42′43.86″N",-7.73751666666667,39.7121833333333,"33922.64E","4951.74N",33922.64,4951.74,"EPSG:3763","2017-03-14","2017-06-23","2017-06-23","2017-06-23",296.4,"m","ASL","","",608217.908324507,4396575.02135888
183,"Noise monitoring","Remote Sensing station 183","E-NMT03","Monitoring","7°44′23.73″W","39°42′37.79″N",-7.739925,39.7104972222222,"33716.76E","4763.67N",33716.76,4763.67,"EPSG:3763","2017-03-14","2017-06-21","2017-06-21","2017-06-21",359.5,"m","ASL","","",608014.093951641,4396384.97631559
184,"Noise monitoring","Remote Sensing station 184","E-NMT04","Monitoring","7°45′3.55″W","39°42′16.78″N",-7.75098611111111,39.7046611111111,"32771.15E","4111.6N",32771.15,4111.6,"EPSG:3763","2017-03-14","2017-06-20","2017-06-20","2017-06-20",250.4,"m","ASL","","",607074.925990152,4395723.96235019
185,"Remote sensing","Remote Sensing station 185","Windcube (ENERCON)","Profiling LIDAR","7°44′56.15″W","39°42′28.67″N",-7.74893055555556,39.7079638888889,"32945.76E","4479.03N",32945.76,4479.03,"EPSG:3763","2017-03-14","2017-03-29","2017-06-24","2017-06-24",367.9,"m","ASL","","",607246.034631922,4396092.99253113
185.1,"Noise monitoring","Remote Sensing station 185","Microphone #4 (DLR)","Monitoring","7°44′8.05″W","39°42′45.57″N",-7.73556944444444,39.7126583333333,"34089.21E","5005.14N",34089.21,5005.14,"EPSG:3763","2017-05-03","2017-05-04","2017-06-24","2017-06-26",312.8,"m","ASL","Validated by Norman Wildmann and Thomas Gerz on 24/01/2018 at 16:42 UTC","",608384.082415359,4396630.09362633
191,"Remote sensing","Remote Sensing station 191","Windcube (Leosphere)","Profiling LIDAR","7°43′49.26″W","39°42′48.99″N",-7.73035,39.7136083333333,"34536.39E","5112.86N",34536.39,5112.86,"EPSG:3763","2017-03-27","2017-03-28","2017-06-24","2017-06-24",453.1,"m","ASL","Validated by José Matos on 25/01/2018 at 16:29 UTC","",608830.00163072,4396741.8566574
201,"Remote sensing","Remote Sensing station 201","ZSW Scanning Lidar (WindForS)","Scanning LIDAR","7°44′10.02″W","39°43′8.75″N",-7.73611666666667,39.7190972222222,"34039.1E","5719.85N",34039.1,5719.85,"EPSG:3763","2017-04-21","2017-04-24","2017-06-21","2017-06-21",436.1,"m","ASL","Validated by Andreas Rettenmeier and Martin Hofsaess on 23/01/2018 22:41 UTC","",608327.099552885,4397344.08309706
211,"Noise monitoring","Remote Sensing station 211","Microphone #1 (DLR)","Monitoring","7°44′47.48″W","39°42′34.67″N",-7.74652222222222,39.7096305555556,"33151.63E","4665.1N",33151.63,4665.1,"EPSG:3763","2017-05-02","2017-06-03","2017-06-24","2017-06-24",475.2,"m","ASL","Validated by Norman Wildmann and Thomas Gerz on 24/01/2018 at 16:42 UTC","",607449.905542026,4396280.85845385
212,"Noise monitoring","Remote Sensing station 212","Microphone #2 (DLR)","Monitoring","7°44′38.57″W","39°42′23.17″N",-7.74404722222222,39.7064361111111,"33365.3E","4311.11N",33365.3,4311.11,"EPSG:3763","2017-05-02","2017-05-04","2017-06-24","2017-06-26",481,"m","ASL","Validated by Norman Wildmann and Thomas Gerz on 24/01/2018 at 16:42 UTC","",607667.038477298,4395929.27736415
213,"Noise monitoring","Remote Sensing station 213","Microphone #3 (DLR)","Monitoring","7°45′19.25″W","39°42′23.86″N",-7.75534722222222,39.7066277777778,"32396.13E","4328.29N",32396.13,4328.29,"EPSG:3763","2017-05-03","2017-05-04","2017-06-24","2017-06-26",238.1,"m","ASL","Validated by Norman Wildmann and Thomas Gerz on 24/01/2018 at 16:42 UTC","",606698.017858902,4395937.04317106
215,"Noise monitoring","Remote Sensing station 215","Microphone #5 (DLR)","Monitoring","7°44′5.72″W","39°42′39.99″N",-7.73492222222222,39.7111083333333,"34145.57E","4833.54N",34145.57,4833.54,"EPSG:3763","2017-05-03","2017-05-04","2017-06-25","2017-06-27",303.8,"m","ASL","Validated by Norman Wildmann and Thomas Gerz on 24/01/2018 at 16:42 UTC","",608441.989837223,4396458.84218515
217,"Ground sensors","Remote Sensing station 217","Seismometer (Cornell)","Seismometer","7°44′30.26″W","39°42′13.45″N",-7.74173888888889,39.7037361111111,"33564.47E","4012.26N",33564.47,4012.26,"EPSG:3763","","2017-06-25","2017-06-25","2017-06-25",479,"m","ASL","Located at rsw03","",607869.132038356,4395632.37984212
218,"Ground sensors","Remote Sensing station 218","Seismometer (Cornell)","Seismometer","7°44′45.61″W","39°42′31.17″N",-7.74600277777778,39.7086583333333,"33196.44E","4557.34N",33196.44,4557.34,"EPSG:3763","","2017-06-25","2017-06-25","2017-06-25",477,"m","ASL","Located at rsw05","",607495.943482965,4396173.57454374
219,"Ground sensors","Remote Sensing station 219","Seismometer (Cornell)","Seismometer","7°44′27.52″W","39°42′10.11″N",-7.74097777777778,39.7028083333333,"33630.2E","3909.5N",33630.2,3909.5,"EPSG:3763","","2017-06-25","2017-06-25","2017-06-25",482,"m","ASL","Located at rsw02","",607935.828789726,4395530.32206951
